Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
219,2:12.21,,Sverdlovsk Region U18,,RUS,1,Chelyabinsk (RUS),2013-06-23,,medley-relay,relays,female,u18,medley-relay,track,132.21,RUS,,2013
220,2:12.28,,Canada U18,,CAN,2h3,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,132.28,HUN,,2001
221,2:12.29,,Ukraine U18,,UKR,2h2,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,132.29,AZE,,2019
222,2:12.31,,Romania U18,,ROU,2h3,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,132.31,HUN,,2018
222,2:12.31,,Poland U18,,POL,3,"Mestni stadion, Ptuj (SLO)",2023-06-11,,medley-relay,relays,female,u18,medley-relay,track,132.31,SLO,,2023
224,2:12.33,,Hungary U18,,HUN,6,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,132.33,HUN,,2018
224,2:12.33,,Poland U18,,POL,4h3,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,132.33,AZE,,2019
226,2:12.38,,Brazil U18,,BRA,6h3,Ostrava (CZE),2007-07-14,,medley-relay,relays,female,u18,medley-relay,track,132.38,CZE,,2007
227,2:12.39,,Morocco U18,,MAR,3h2,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,132.39,MAR,,2005
227,2:12.39,,Kazakhstan U18,,KAZ,2,Tashkent (UZB),2023-04-30,,medley-relay,relays,female,u18,medley-relay,track,132.39,UZB,,2023
229,2:12.41,,Italy U18,,ITA,1h3,"Štadión SNP, Banská Bystrica (SVK)",2022-07-29,,medley-relay,relays,female,u18,medley-relay,track,132.41,SVK,,2022
230,2:12.43,,Finland U18,,FIN,4h1,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,132.43,AZE,,2019
231,2:12.45,,Japan U18,,JPN,7f1,Ostrava (CZE),2007-07-15,,medley-relay,relays,female,u18,medley-relay,track,132.45,CZE,,2007
232,2:12.52,,Spain U18,,ESP,3h1,"Sidi Youssef Ben Ali, Marrakech (MAR)",2005-07-16,,medley-relay,relays,female,u18,medley-relay,track,132.52,MAR,,2005
233,2:12.56,,Slovenia U18,,SLO,4h1,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,132.56,SVK,,2024
234,2:12.62,,Greece U18,,GRE,3h3,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,132.62,ISR,,2022
235,2:12.66,,Bahamas U18,,BAH,6f1,Sherbrooke (CAN),2003-07-13,,medley-relay,relays,female,u18,medley-relay,track,132.66,CAN,,2003
236,2:12.68,,Serbia U18,,SRB,4h3,"Bressanone, Trentino-Alto Adige (ITA)",2009-07-11,,medley-relay,relays,female,u18,medley-relay,track,132.68,ITA,,2009
236,2:12.68,,New Zealand U18,,NZL,3h3,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,132.68,HUN,,2001
238,2:12.69,,Bahamas U18,,BAH,4h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,132.69,CAN,,2003
239,2:12.70,,Austria U18,,AUT,7,"Olimpiai Sportpark, Győr (HUN)",2018-07-08,,medley-relay,relays,female,u18,medley-relay,track,132.7,HUN,,2018
240,2:12.71,,Japan U18,,JPN,5h1,Sherbrooke (CAN),2003-07-12,,medley-relay,relays,female,u18,medley-relay,track,132.71,CAN,,2003
241,2:12.72,,Switzerland U18,,SUI,2h2,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,132.72,HUN,,2018
241,2:12.72,,Croatia U18,,CRO,6h3,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,132.72,SVK,,2024
243,2:12.76,,Japan U18,,JPN,2h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,132.76,HUN,,2001
243,2:12.76,,"Hong Kong, China U18",,HKG,3,Tashkent (UZB),2023-04-30,,medley-relay,relays,female,u18,medley-relay,track,132.76,UZB,,2023
245,2:12.83,,Ukraine U18,,UKR,1h2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",1999-07-17,,medley-relay,relays,female,u18,medley-relay,track,132.83,POL,,1999
246,2:12.84,,Slovak Republic U18,,SVK,2,Budapest (HUN),2014-07-04,,medley-relay,relays,female,u18,medley-relay,track,132.84,HUN,,2014
