Rank,Mark,Wind,Competitor,DOB,Nationality,Position,Venue,Date,Result Score,Discipline,Type,Gender,Age Category,normalized_discpline,track_field,mark_numeric,venue_country_code,age_at_event,season
312,2:14.18,,Turkey U18,,TUR,5h2,"Givat Ram Stadium, Jerusalem (ISR)",2022-07-06,,medley-relay,relays,female,u18,medley-relay,track,134.18,ISR,,2022
312,2:14.18,,Slovenia U18,,SLO,4,"Mestni stadion, Ptuj (SLO)",2023-06-11,,medley-relay,relays,female,u18,medley-relay,track,134.18,SLO,,2023
314,2:14.20,,Austria U18,,AUT,6h2,"Atletski stadion Poljane, Maribor (SLO)",2023-07-28,,medley-relay,relays,female,u18,medley-relay,track,134.2,SLO,,2023
315,2:14.21,,Hungary U18,,HUN,3,Budapest (HUN),2014-07-04,,medley-relay,relays,female,u18,medley-relay,track,134.21,HUN,,2014
316,2:14.24,,Slovenia U18,,SLO,3,Trnava (SVK),2015-06-06,,medley-relay,relays,female,u18,medley-relay,track,134.24,SVK,,2015
317,2:14.25,,"Hongao Youth Sports Club in Wuhu City , Anhui Province",,CHN,4,"Shanxi Sports Center Stadium, Taiyuan (CHN)",2019-08-16,,medley-relay,relays,female,u18,medley-relay,track,134.25,CHN,,2019
318,2:14.26,,Luxembourg U18,,LUX,6h2,Banská Bystrica (SVK),2024-07-20,,medley-relay,relays,female,u18,medley-relay,track,134.26,SVK,,2024
319,2:14.31,,Volgogradskaya Region U18,,RUS,4,Chelyabinsk (RUS),2013-06-23,,medley-relay,relays,female,u18,medley-relay,track,134.31,RUS,,2013
320,2:14.37,,"AGRAM I , Zagreb",,CRO,1f2,"Stadion Branko Čavlović-Čavlek, Karlovac (CRO)",2023-06-04,,medley-relay,relays,female,u18,medley-relay,track,134.37,CRO,,2023
321,2:14.38,,Thailand U18,,THA,2,Al-Kuwait (KUW),2022-10-16,,medley-relay,relays,female,u18,medley-relay,track,134.38,KUW,,2022
322,2:14.40,,Belarus U18,,BLR,4h1,"Olimpiai Sportpark, Győr (HUN)",2018-07-07,,medley-relay,relays,female,u18,medley-relay,track,134.4,HUN,,2018
323,2:14.43,,Turkey U18,,TUR,3h2,Baku (AZE),2019-07-26,,medley-relay,relays,female,u18,medley-relay,track,134.43,AZE,,2019
324,2:14.44,,Czech Republic U18,,CZE,4h2,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,134.44,HUN,,2001
325,2:14.46,,Czech Republic U18,,CZE,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",2022-06-29,,medley-relay,relays,female,u18,medley-relay,track,134.46,HUN,,2022
326,2:14.52,,Croatia U18,,CRO,3h1,Debrecen (HUN),2001-07-14,,medley-relay,relays,female,u18,medley-relay,track,134.52,HUN,,2001
